snapshot_date,login,name,github_url,website,location,sector,verified,description,followers,following,public_repos,public_gists,created_at,updated_at,archived_at,source_url,last_checked
2026-05-25,OpenIPC,OpenIPC,https://github.com/OpenIPC,https://openipc.org,Italy,Da classificare,False,Alternative IP Camera firmware from an open community,2218,0,134,0,2018-12-22T15:41:17Z,2025-09-03T09:21:11Z,,https://github.com/OpenIPC,2026-05-25
2026-05-25,italia,Developers Italia,https://github.com/italia,https://developers.italia.it,Italy,Pubblica amministrazione,True,Open source code and developers community of the Italian government,1854,0,426,0,2015-10-29T10:07:29Z,2026-05-24T12:04:11Z,,https://github.com/italia,2026-05-25
2026-05-25,mybatis,MyBatis,https://github.com/mybatis,http://www.mybatis.org,"Canada, Colombia, Italy, Japan, Perú, Spain, Russia, Thailand, UK, Ukranie and USA",Da classificare,False,,1191,0,37,0,2012-02-28T21:21:10Z,2026-05-09T11:35:02Z,,https://github.com/mybatis,2026-05-25
2026-05-25,unitn-drive,UniTN - DISI Drive,https://github.com/unitn-drive,,Italy,Da classificare,False,,791,0,5,0,2022-05-23T17:02:55Z,2023-06-16T11:36:14Z,,https://github.com/unitn-drive,2026-05-25
2026-05-25,NyarchLinux,Nyarch Linux,https://github.com/NyarchLinux,https://nyarchlinux.moe,Italy,Da classificare,False,Nyarch Linux is a (meme) linux distribution based on Arch Linux made for very degenerated weebs,648,0,33,0,2022-12-30T13:39:51Z,2024-01-27T20:07:31Z,,https://github.com/NyarchLinux,2026-05-25
2026-05-25,cheshire-cat-ai,Cheshire Cat AI,https://github.com/cheshire-cat-ai,,Italy,Da classificare,False,,623,0,25,0,2023-06-01T14:02:25Z,2024-03-06T16:11:54Z,,https://github.com/cheshire-cat-ai,2026-05-25
2026-05-25,DevExpPlatform,Developer Experience Platform for Eng Group,https://github.com/DevExpPlatform,,Italy,Da classificare,False,Sperimentazione Piattaforma Corporate per gli sviluppatori,484,0,6,0,2024-06-17T13:32:11Z,2026-04-24T01:55:39Z,,https://github.com/DevExpPlatform,2026-05-25
2026-05-25,Tiledesk,Tiledesk,https://github.com/Tiledesk,https://www.tiledesk.com,Italy,Da classificare,False,"Open-source platform to build and automate AI agents, streamline workflows and integrate seamlessly with your products through white-label solutions",418,0,41,0,2018-06-03T19:50:26Z,2025-09-14T17:10:10Z,,https://github.com/Tiledesk,2026-05-25
2026-05-25,SPDM-Team,SPDM Team,https://github.com/SPDM-Team,spdmteam.com,Italy,Da classificare,False,Secret Police Department (mainly lego hacks department),398,0,3,0,2022-05-19T17:43:18Z,2022-05-19T17:49:35Z,,https://github.com/SPDM-Team,2026-05-25
2026-05-25,robotology,Robotology,https://github.com/robotology,https://icub.iit.it,Italy,Da classificare,False,Group software repositories of the iCub eco-system (but code developed is not necessarily iCub specific!).,324,0,147,0,2012-03-29T13:49:13Z,2025-10-31T17:18:17Z,,https://github.com/robotology,2026-05-25
2026-05-25,pagopa,PagoPA S.p.A.,https://github.com/pagopa,https://pagopa.it/,Italy,Societa pubblica,True,Software e servizi digitali pubblici gestiti da PagoPA S.p.A.,315,0,755,0,2019-11-14T05:21:03Z,2026-05-06T21:54:39Z,,https://github.com/pagopa,2026-05-25
2026-05-25,sapienzastudentsnetwork,Sapienza Students Network,https://github.com/sapienzastudentsnetwork,https://sapienzastudents.net/,Italy,Da classificare,False,Organizzazione studentesca indipendente volta a promuovere iniziative collaborative e a favorire un senso di comunità,307,0,30,0,2021-11-30T16:47:18Z,2025-10-05T16:32:29Z,,https://github.com/sapienzastudentsnetwork,2026-05-25
2026-05-25,cnr-isti-vclab,Visual Computing Lab - ISTI - CNR,https://github.com/cnr-isti-vclab,http://vcg.isti.cnr.it,Italy,Da classificare,False,,296,0,39,0,2015-07-17T08:45:26Z,2022-02-19T22:20:22Z,,https://github.com/cnr-isti-vclab,2026-05-25
2026-05-25,cartabinaria,CartaBinaria,https://github.com/cartabinaria,https://cartabinaria.students.cs.unibo.it,Italy,Da classificare,False,Community of students from the Department of Computer Science and Engineering of the University of Bologna,279,0,198,0,2021-09-14T06:56:43Z,2024-10-25T15:49:36Z,,https://github.com/cartabinaria,2026-05-25
2026-05-25,BendingSpoons,Bending Spoons,https://github.com/BendingSpoons,https://www.bendingspoons.com,"Milan, Italy",Da classificare,False,,274,0,3,0,2013-05-05T15:31:21Z,2026-04-24T00:52:57Z,,https://github.com/BendingSpoons,2026-05-25
2026-05-25,ami-iit,Artificial and Mechanical Intelligence ,https://github.com/ami-iit,https://ami.iit.it/,Italy,Da classificare,False,,254,0,168,0,2017-05-04T15:42:54Z,2025-03-27T12:33:36Z,,https://github.com/ami-iit,2026-05-25
2026-05-25,teamdigitale,Team Digitale,https://github.com/teamdigitale,https://teamdigitale.governo.it,"Rome, Italy",Pubblica amministrazione,True,Team per la Trasformazione Digitale - Presidenza del Consiglio dei Ministri - Italia,142,0,150,0,2017-01-12T14:12:28Z,2026-03-30T15:42:56Z,,https://github.com/teamdigitale,2026-05-25
2026-05-25,ministero-salute,Ministero della Salute,https://github.com/ministero-salute,https://www.salute.gov.it,Italy,Pubblica amministrazione,False,Organizzazione GitHub del Ministero della Salute.,73,0,103,0,2021-04-27T13:13:21Z,2026-05-11T14:21:27Z,,https://github.com/ministero-salute,2026-05-25
2026-05-25,openpolis,Openpolis,https://github.com/openpolis,http://www.openpolis.it,"Roma, Italia",Civic tech,False,"Open data, open government, open source.",49,0,71,0,2009-12-10T09:13:07Z,2020-06-01T18:16:26Z,,https://github.com/openpolis,2026-05-25
2026-05-25,istat,istat,https://github.com/istat,https://www.istat.it,"Via Cesare Balbo 16, 00184 Rome",Ricerca e statistica,False,Organizzazione GitHub associata a Istat.,9,0,12,0,2023-02-10T14:31:40Z,2025-11-13T13:00:36Z,,https://github.com/istat,2026-05-25
